Address	City	State	Country	InitDate	LastMtto	Coors	Image	Notes	ModelId	OnwerId	RentalId	ParentId
Calle 17 # 33 40	1	1	1	20180101	20210301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	1	1	5	
Calle 17 # 33 40	1	1	1	20180201	20210401	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	2	1	5	
Calle 17 # 33 40	1	1	1	20180301	20210501	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	3	1	5	
Calle 17 # 33 40	1	1	1	20180401	20210601	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	4	2	5	
Calle 17 # 33 40	1	1	1	20180501	20210701	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	5	2	5	
Calle 17 # 33 40	1	1	1	20180601	20210801	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	6	2	5	
Calle 17 # 33 40	1	1	1	20180701	20210901	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	7	3	6	1
Calle 17 # 33 40	1	1	1	20180801	20211001	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	8	3	6	1
Calle 17 # 33 40	1	1	1	20180901	20211101	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	9	3	6	1
Calle 17 # 33 40	1	1	1	20181001	20211201	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	10	4	5	2
Calle 17 # 33 40	1	1	1	20181101	20220101	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	11	4	5	2
Calle 17 # 33 40	1	1	1	20181201	20220201	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	12	4	5	7
Calle 17 # 33 40	1	1	1	20190101	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	13	4	5	7
Calle 17 # 33 40	1	1	1	20190201	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	14	6	7	8
Calle 17 # 33 40	1	1	1	20190301	20191101	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	15	6	7	8
Calle 17 # 33 40	1	1	1	20190401	20191201	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	16	6	7	9
Calle 17 # 33 40	1	1	1	20190501	20200101	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	17	8	8	12
Calle 17 # 33 40	1	1	1	20190601	20200201	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	18	8	8	12
Calle 17 # 33 40	1	1	1	20190701	20200301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	19	8	8	12
Calle 17 # 33 40	1	1	1	20190801	20200401	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	20	2	8	13
Calle 17 # 33 40	1	1	1	20190901	20200501	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	21	2	8	13
Calle 17 # 33 40	1	1	1	20191001	20200601	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	22	2	8	14
Calle 17 # 33 40	1	1	1	20191101	20200701	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	23	9	10	14
Calle 17 # 33 40	1	1	1	20191201	20200801	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	24	9	10	15
Calle 17 # 33 40	1	1	1	20200101	20200901	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	25	9	10	16
Calle 17 # 33 40	1	1	1	20200201	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	26	4	5	16
Calle 17 # 33 40	1	1	1	20200301	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	27	4	5	
Calle 17 # 33 40	1	1	1	20200401	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	28	4	5	27
Calle 17 # 33 40	1	1	1	20200501	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	29	4	5	
Calle 17 # 33 40	1	1	1	20200601	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	30	10	10	
Calle 17 # 33 40	1	1	1	20200701	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	31	10	10	
Calle 17 # 33 40	1	1	1	20200801	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	32	10	10	
Calle 17 # 33 40	1	1	1	20200901	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	33	4	5	
Calle 17 # 33 40	1	1	1	20201001	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	34	4	5	
Calle 17 # 33 40	1	1	1	20201101	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	35	4	5	
Calle 17 # 33 40	1	1	1	20201201	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	36	4	4	
Calle 17 # 33 40	1	1	1	20210101	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	37	4	4	
Calle 17 # 33 40	1	1	1	20210201	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	38	4	4	
Calle 17 # 33 40	1	1	1	20210301	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	39	4	4	
Calle 17 # 33 40	1	1	1	20210401	20220301	4.134488756992264, -73.62683963068474	https://picsum.photos/seed/picsum/500/500	Notas	40	4	4	
